# a262b85f-d090-4bfc-aa27-752a7391c6dc,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
303.9491832,304.4914167,26.3266455,-1.4497553,0.0001758,43.3634919,-9.9131035,0.0154614,0.0589698,0
305.9488489,306.4764155,26.5684044,-1.4494659,0.0001136,42.9039234,-9.9337511,0.0099939,0.0381166,0
307.9485146,308.4613557,26.8106197,-1.4492914,0.0000618,42.4384057,-9.9335962,0.0054343,0.0207263,0
309.9481802,310.4462677,27.0530822,-1.4492129,0.0000249,41.9677321,-9.9060001,0.0021902,0.0083536,0
311.9478459,312.4311683,27.295648,-1.4491804,0.0000076,41.4930495,-9.8667206,0.0006676,0.0025463,0
313.9475116,314.4160612,27.5382505,-1.4491711,0.0000027,41.0147885,-9.8251328,0.0002357,0.0008991,0
315.9471773,316.4009548,27.780864,-1.449169,0.0000004,40.5329362,-9.7818576,0.0000334,0.0001273,0
317.946843,318.3858493,28.0234797,-1.4491684,0.0000002,40.0474472,-9.7386763,0.0000144,0.000055,0
319.9465086,320.3707405,28.2660957,-1.4491682,0.0000001,39.5581829,-9.6956325,0.0000048,0.0000184,0
321.9461743,322.3556338,28.5087121,-1.4491682,0,39.0649944,-9.6527333,-0.0000005,-0.0000021,0
323.94584,324.3405282,28.7513287,-1.4491682,0,38.5677236,-9.6100219,-0.0000011,-0.0000044,0
325.9455057,326.3254194,28.9939449,-1.4491682,0,38.0662008,-9.5675072,0.000002,0.0000077,0
327.9451713,328.3103127,29.2365614,-1.4491681,0,37.5602451,-9.5250596,-0.000002,-0.0000077,0
329.944837,330.2952071,29.4791779,-1.4491683,-0.0000002,37.0496713,-9.4827968,-0.0000166,-0.0000634,0
331.9445027,332.2800985,29.7217937,-1.4491682,0.0000004,36.5342756,-9.4409447,0.0000324,0.0001237,0
333.9441684,334.2649913,29.964411,-1.4491674,-0.0000002,36.0138283,-9.3976257,-0.0000206,-0.0000785,0
335.9438341,336.2498859,30.2070272,-1.4491702,-0.0000026,35.4881897,-9.3543876,-0.0002253,-0.0008592,0
337.9434997,338.2347789,30.4496385,-1.4491684,0.0000052,34.9571211,-9.2532992,0.0004575,0.0017451,0
339.9431654,340.2196679,30.6922803,-1.4491135,0.0001003,34.4237317,-9.0820686,0.0088172,0.0336289,0
341.9428311,342.2045068,30.9353479,-1.4486962,0.0003171,33.8920507,-8.581653,0.0278842,0.1063505,0
343.9424968,344.1891465,31.1799889,-1.4473235,0.0011046,33.3818847,-7.8954326,0.0971525,0.3705397,0
345.9421625,346.1732753,31.4290545,-1.4441417,0.0022644,32.9055281,-6.991368,0.1991517,0.7595648,0
347.9418281,348.1561878,31.6871974,-1.4380025,0.0038762,32.4778845,-5.9348116,0.3409078,1.3002224,0
349.9414938,350.137062,31.9609023,-1.428319,0.0058388,32.1103987,-4.9613867,0.5135073,1.9585168,0
351.9411595,352.1144049,32.2576716,-1.4146978,0.0077174,31.7999288,-4.1062357,0.6787088,2.5885954,0
353.9408252,354.087153,32.5849137,-1.3975576,0.0094222,31.5406607,-3.5726226,0.828616,3.1603416,0
355.9404909,356.0528424,32.9488369,-1.3775428,0.0105495,31.3133386,-3.1770301,0.927741,3.5384041,0
357.9401565,358.0106615,33.3541557,-1.355468,0.0114271,31.1097923,-2.9280793,1.0048985,3.8326828,0
359.9398222,359.9595769,33.8042377,-1.3320023,0.0120297,30.9210093,-2.7832646,1.057884,4.0347697,0
361.9394879,361.8951232,34.3004444,-1.3075389,0.0124342,30.7404883,-2.6751552,1.0934468,4.1704062,0
363.9391536,363.8190423,34.8449527,-1.2823269,0.0127697,30.5659744,-2.5965994,1.1229424,4.2829024,0
365.9388193,365.7296109,35.4387683,-1.2564914,0.0130493,30.3956268,-2.592391,1.1475182,4.3766344,0
367.9384849,367.620451,36.0809232,-1.2302757,0.0131824,30.2245975,-2.5921534,1.1592188,4.4212606,0
369.9381506,369.4963141,36.7735958,-1.2038358,0.0132894,30.0526108,-2.6020784,1.1686306,4.457157,0
371.9378163,371.3539583,37.5162232,-1.1770998,0.0134203,29.8789699,-2.509984,1.1801347,4.5010339,0
373.937482,373.1868438,38.306688,-1.1500391,0.0137448,29.710513,-2.5099513,1.2086657,4.609851,0
375.9371476,375.0030723,39.1498782,-1.1221863,0.0138762,29.5410978,-2.5005054,1.2202154,4.6539017,0
377.9368133,376.7912782,40.0407876,-1.095227,0.0131064,29.3713484,-2.9199736,1.1525426,4.3957974,0
379.936479,378.5565123,40.9787791,-1.0697138,0.0124923,29.1718729,-3.2705916,1.0985495,4.1898679,0
381.9361447,380.3031284,41.9637457,-1.0450488,0.012148,28.9468131,-2.6725462,1.0682774,4.07441,0
